股票代码,股票名称,交易所,来源指数,申万一级行业,申万二级行业,申万三级行业,2025年平均价,2025年分红(元/股),2025年分红次数,2025年股息率(%),2024年平均价,2024年分红(元/股),2024年分红次数,2024年股息率(%),2023年平均价,2023年分红(元/股),2023年分红次数,2023年股息率(%),近3年平均股价,3年平均股息率(%),2025Q1平均价,2025Q1分红(元/股),2025Q1股息率(%),2025Q2平均价,2025Q2分红(元/股),2025Q2股息率(%),2025Q3平均价,2025Q3分红(元/股),2025Q3股息率(%),2025Q4平均价,2025Q4分红(元/股),2025Q4股息率(%),2025年最高价,2025年最低价,2025年最高涨幅(%),2025年最低跌幅(%)
601098,中南传媒,沪市主板,中证红利,传媒,出版,教育出版,13.02,0.55,2,4.23,12.59,0.65,2,5.16,11.56,0.6,1,5.19,12.39,4.86,13.29,-,-,14.11,0.45,3.19,12.98,-,-,11.7,0.1,0.85,15.14,11.0,16.32,15.49
2318,久立特材,深市主板,红利增长,钢铁,特钢Ⅱ,特钢Ⅲ,24.04,0.97,1,4.04,22.22,0.48,1,2.16,17.47,0.43,1,2.46,21.24,2.89,23.5,-,-,24.05,0.97,4.03,22.91,-,-,25.77,-,-,28.95,21.79,20.44,9.35
600039,四川路桥,沪市主板,中证红利,建筑装饰,基础建设,基建市政工程,8.65,0.41,2,4.73,7.34,0.55,2,7.55,10.76,0.91,1,8.46,8.92,6.91,7.37,-,-,9.15,-,-,8.65,0.38,4.36,9.37,0.03,0.34,10.25,6.84,18.48,20.94
601818,光大银行,沪市主板,中证红利,银行,股份制银行Ⅱ,股份制银行Ⅲ,3.8,0.19,2,4.98,3.28,0.17,1,5.28,3.06,0.19,1,6.22,3.38,5.49,3.78,0.1,2.75,3.93,-,-,3.95,0.08,2.15,3.51,-,-,4.44,3.34,16.95,12.03
915,华特达因,深市主板,中证红利质量,医药生物,化学制药,化学制剂,31.25,2.5,2,8.0,29.93,2.5,2,8.35,35.86,0.8,1,2.23,32.34,6.19,27.29,-,-,30.45,2.0,6.57,33.32,-,-,33.54,0.5,1.49,35.6,25.38,13.92,18.78
600256,广汇能源,沪市主板,中证红利,石油石化,炼化及贸易,油品石化贸易,5.65,0.62,1,11.0,7.15,0.7,1,9.79,8.18,0.8,1,9.78,7.0,10.19,6.2,-,-,5.86,-,-,5.44,0.62,11.44,5.17,-,-,6.5,4.92,14.97,12.98
600757,长江传媒,沪市主板,中证红利,传媒,出版,教育出版,9.06,0.41,1,4.53,8.14,0.4,1,4.91,7.79,0.32,1,4.11,8.33,4.52,8.65,-,-,9.4,0.41,4.36,9.27,-,-,8.87,-,-,9.98,8.2,10.18,9.47
404,长虹华意,深市主板,红利增长,家用电器,家电零部件Ⅱ,家电零部件Ⅲ,7.16,0.3,1,4.19,6.47,0.25,1,3.86,6.22,0.2,1,3.21,6.62,3.76,7.35,-,-,6.99,-,-,7.31,0.3,4.1,6.99,-,-,7.98,6.14,11.43,14.26
2563,森马服饰,深市主板,中证红利,纺织服饰,服装家纺,非运动服装,5.88,0.5,2,8.51,5.84,0.3,1,5.14,6.05,0.2,1,3.31,5.92,5.65,6.46,-,-,5.96,0.35,5.88,5.48,-,-,5.67,0.15,2.65,7.38,5.02,25.61,14.56
601717,中创智领,沪市主板,"中证红利, 中证红利质量, 红利增长",机械设备,专用设备,能源及重型设备,18.29,1.12,1,6.13,13.8,0.84,1,6.09,12.75,0.56,1,4.39,14.94,5.53,13.7,-,-,15.82,-,-,19.43,1.12,5.77,23.85,-,-,27.69,12.45,51.43,31.91
601666,平煤股份,沪市主板,中证红利,煤炭,煤炭开采,焦煤,8.31,0.6,1,7.22,11.32,0.99,1,8.75,9.88,0.87,1,8.8,9.84,8.26,8.92,-,-,8.17,0.6,7.34,7.99,-,-,8.22,-,-,9.64,7.29,16.0,12.28
