股票代码,股票名称,交易所,来源指数,申万一级行业,申万二级行业,申万三级行业,2025年平均价,2025年分红(元/股),2025年分红次数,2025年股息率(%),2024年平均价,2024年分红(元/股),2024年分红次数,2024年股息率(%),2023年平均价,2023年分红(元/股),2023年分红次数,2023年股息率(%),近3年平均股价,3年平均股息率(%),2025Q1平均价,2025Q1分红(元/股),2025Q1股息率(%),2025Q2平均价,2025Q2分红(元/股),2025Q2股息率(%),2025Q3平均价,2025Q3分红(元/股),2025Q3股息率(%),2025Q4平均价,2025Q4分红(元/股),2025Q4股息率(%),2025年最高价,2025年最低价,2025年最高涨幅(%),2025年最低跌幅(%)
603380,易德龙,沪市主板,"中证红利质量, 红利质量",电子,消费电子,消费电子零部件及组装,31.39,1.0,1,3.19,20.67,0.26,1,1.26,24.75,0.14,1,0.57,25.6,1.67,25.29,-,-,23.27,1.0,4.3,37.49,-,-,38.61,-,-,51.92,19.24,65.39,38.71
2895,川恒股份,深市主板,中证红利质量,基础化工,农化制品,磷肥及磷化工,26.56,1.5,2,5.65,19.12,1.0,1,5.23,21.75,0.7,1,3.22,22.48,4.7,22.32,-,-,23.69,1.2,5.07,25.58,0.3,1.17,34.53,-,-,38.94,20.79,46.61,21.73
2192,融捷股份,深市主板,红利质量,有色金属,能源金属,锂,36.13,0.17,1,0.46,36.55,0.3,1,0.82,70.72,0.98,1,1.39,47.8,0.89,31.67,-,-,28.46,-,-,35.22,0.17,0.47,49.03,-,-,65.51,26.68,81.33,26.15
601838,成都银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,17.8,0.89,1,5.0,14.51,0.9,1,6.18,13.22,0.77,1,5.81,15.18,5.66,16.72,-,-,18.46,-,-,18.78,0.89,4.74,17.09,-,-,20.88,15.83,17.29,11.08
603129,春风动力,沪市主板,红利质量,汽车,摩托车及其他,摩托车,221.56,3.85,1,1.74,136.07,2.08,1,1.53,131.41,1.41,1,1.07,163.01,1.45,184.94,-,-,181.61,3.85,2.12,253.01,-,-,261.72,-,-,297.21,139.46,34.14,37.06
601825,沪农商行,沪市主板,中证红利,银行,农商行Ⅱ,农商行Ⅲ,8.84,0.43,2,4.91,7.09,0.62,2,8.72,5.85,0.34,1,5.85,7.26,6.49,8.12,-,-,9.08,0.19,2.13,9.12,0.24,2.64,8.99,-,-,10.37,7.92,17.26,10.44
605028,世茂能源,沪市主板,中证红利质量,公用事业,电力,热力服务,21.24,1.1,3,5.18,15.43,0.6,1,3.89,18.79,0.3,1,1.6,18.49,3.55,16.98,0.6,3.53,17.12,0.2,1.17,22.73,-,-,27.76,0.3,1.08,32.98,15.17,55.3,28.57
603565,中谷物流,沪市主板,"中证红利, 中证红利质量",交通运输,航运港口,航运,10.11,1.22,2,12.07,8.63,0.72,1,8.34,12.22,0.22,1,1.8,10.32,7.41,9.12,-,-,9.99,0.79,7.91,10.54,0.43,4.08,10.69,-,-,11.56,8.69,14.39,14.01
600938,中国海油,沪市主板,"中证红利, 中证红利质量, 红利质量",石油石化,油气开采Ⅱ,油气开采Ⅲ,26.61,1.27,2,4.78,27.85,1.28,2,4.58,18.49,1.22,2,6.59,24.32,5.32,26.81,-,-,25.61,-,-,26.06,0.61,2.32,28.04,0.67,2.38,30.18,23.23,13.4,12.71
603967,中创物流,沪市主板,中证红利,交通运输,物流,跨境物流,11.45,0.6,1,5.24,9.34,0.5,1,5.35,9.75,0.45,1,4.61,10.18,5.07,10.07,-,-,11.91,0.6,5.04,11.55,-,-,12.19,-,-,14.0,9.33,22.3,18.5
603317,天味食品,沪市主板,中证红利质量,食品饮料,调味发酵品Ⅱ,调味发酵品Ⅲ,12.36,0.55,1,4.45,12.4,0.4,1,3.23,17.64,0.32,1,1.81,14.13,3.16,13.25,-,-,12.26,0.55,4.49,11.64,-,-,12.4,-,-,14.63,10.66,18.37,13.75
603529,爱玛科技,沪市主板,红利质量,汽车,摩托车及其他,其他运输设备,36.92,1.22,2,3.3,32.09,0.87,2,2.7,41.38,1.65,2,3.99,36.8,3.33,41.53,-,-,39.38,0.59,1.5,35.71,0.63,1.76,31.41,-,-,46.97,29.5,27.22,20.1
601658,邮储银行,沪市主板,中证红利,银行,国有大型银行Ⅱ,国有大型银行Ⅲ,5.58,0.26,2,4.69,4.98,0.26,1,5.25,4.86,0.26,1,5.31,5.14,5.08,5.33,0.15,2.77,5.32,0.11,2.14,5.93,-,-,5.68,-,-,6.39,5.07,14.59,9.08
605499,东鹏饮料,沪市主板,红利质量,食品饮料,饮料乳品,软饮料,275.85,5.0,2,1.81,212.27,5.0,2,2.36,183.74,2.0,1,1.09,223.95,1.75,234.9,-,-,293.0,2.5,0.85,296.76,2.5,0.84,274.6,-,-,336.5,209.99,21.99,23.88
601077,渝农商行,沪市主板,中证红利,银行,农商行Ⅱ,农商行Ⅲ,6.6,0.3,2,4.62,5.02,0.29,1,5.74,3.86,0.27,1,7.03,5.16,5.8,5.85,0.19,3.33,7.0,0.11,1.57,6.76,-,-,6.72,-,-,7.74,5.54,17.35,16.01
605118,力鼎光电,沪市主板,中证红利质量,计算机,计算机设备,安防设备,24.91,0.61,2,2.45,16.43,0.34,2,2.07,15.38,0.12,1,0.78,18.91,1.77,19.79,-,-,20.2,0.31,1.53,30.54,0.3,0.98,28.29,-,-,35.19,15.55,41.27,37.57
603706,东方环宇,沪市主板,中证红利,公用事业,燃气Ⅱ,燃气Ⅲ,19.82,0.9,1,4.54,15.58,0.9,1,5.78,15.37,0.7,1,4.55,16.92,4.96,18.08,-,-,19.1,0.9,4.71,21.05,-,-,20.82,-,-,24.52,16.79,23.74,15.27
603893,瑞芯微,沪市主板,红利质量,电子,半导体,数字芯片设计,169.39,0.9,2,0.53,63.76,0.2,1,0.31,74.43,0.25,1,0.34,102.53,0.39,157.4,0.25,0.16,153.29,-,-,183.68,0.65,0.35,181.18,-,-,246.3,98.07,45.4,42.11
2959,小熊电器,深市主板,红利质量,家用电器,小家电,厨房小家电,46.56,1.0,1,2.15,49.47,1.2,1,2.43,67.54,0.8,1,1.18,54.52,1.92,43.45,-,-,46.47,1.0,2.15,50.35,-,-,45.44,-,-,55.75,38.91,19.74,16.43
603379,三美股份,沪市主板,红利质量,基础化工,化学制品,氟化工,48.94,0.77,2,1.57,36.32,0.23,1,0.63,29.09,0.24,1,0.82,38.12,1.01,40.92,-,-,45.23,0.45,0.99,52.75,-,-,56.08,0.32,0.57,62.18,37.17,27.05,24.05
603486,科沃斯,沪市主板,红利质量,家用电器,小家电,清洁小家电,69.73,0.45,1,0.65,43.69,0.3,1,0.69,67.16,0.9,1,1.34,60.19,0.89,54.09,-,-,53.13,0.45,0.85,85.02,-,-,84.35,-,-,107.5,42.71,54.17,38.75
601187,厦门银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,6.49,0.3,2,4.62,5.31,0.46,2,8.66,5.45,0.29,1,5.32,5.75,6.2,5.54,-,-,6.2,0.16,2.58,6.9,-,-,7.22,0.14,1.94,7.92,5.2,22.08,19.84
603195,公牛集团,沪市主板,中证红利质量,轻工制造,家居用品,其他家居用品,56.68,2.4,1,4.23,86.47,3.1,1,3.59,123.02,3.3,1,2.68,88.72,3.5,72.56,-,-,65.59,2.4,3.66,47.07,-,-,43.26,-,-,77.24,40.83,36.27,27.97
601963,重庆银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,10.18,0.41,2,4.07,7.74,0.41,1,5.27,7.67,0.4,1,5.15,8.53,4.83,8.96,0.17,1.85,10.76,0.25,2.3,10.1,-,-,10.84,-,-,11.69,8.57,14.84,15.81
