股票代码,股票简称,概念板块,行业板块
600362,江西铜业,AH股;HS300_;MSCI中国;一带一路;上证180_;参股券商;参股银行;央国企改革;富时罗素;小金属概念;工业金属;新材料;有色金属;机构重仓;标准普尔;江西板块;沪股通;电池技术;稀缺资源;融资融券;证金持股;铜;锂电池概念;黄金概念,工业金属
600373,中文传媒,2025中报预减;上证380;传媒;出版;参股新三板;在线教育;增强现实;大众出版;央国企改革;富时罗素;小盘股;广电;数字阅读;文娱消费;机构重仓;标准普尔;江西板块;沪股通;破净股;红利破净股;红利股;网络游戏;虚拟现实;融资融券;长期破净,出版
600377,宁沪高速,AH股;HS300_;上证180_;交通运输;央国企改革;富时罗素;机构重仓;标准普尔;江苏板块;沪股通;红利股;融资融券;铁路公路;长江三角;高速公路,铁路公路
600398,海澜之家,MSCI中国;上证380;中证500;价值股;参股银行;央视50_;婴童概念;小红书概念;抖音小店;抖音概念(字节概念);新零售;服装家纺;标准普尔;江苏板块;沪股通;电商概念;红利股;纺织服饰;网红经济;融资融券;长江三角;阿里概念;非运动服装,服装家纺
600406,国电南瑞,HS300_;IGBT概念;MSCI中国;PPP模式;一带一路;上证180_;上证50_;东方财富热股;中特估;储能概念;充电桩;光伏概念;半导体概念;国产芯片;央国企改革;富时罗素;抽水蓄能;换电概念;数据中心;新能源;智能电网;机构重仓;标准普尔;核能核电;江苏板块;沪股通;特高压;电力设备;电网概念;电网自动化设备;电网设备;节能环保;虚拟电厂;融资融券;证金持股;车联网(车路云);量子科技,电网设备
600436,片仔癀,HS300_;MSCI中国;上证180_;专精特新;中药Ⅱ;中药Ⅲ;中药概念;化妆品概念;医药生物;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;百元股;福建板块;茅指数;融资融券;证金持股,中药Ⅱ
600461,洪城环境,PPP模式;创投;垃圾分类;天然气;央国企改革;小盘股;机构重仓;水务及水治理;江西板块;沪股通;油气资源;环保;环境治理;红利股;节能环保;融资融券;转债标的,环境治理
600502,安徽建工,PPP模式;一带一路;基建市政工程;基础建设;央国企改革;安徽板块;富时罗素;小盘股;工程建设;建筑装饰;房屋检测;新型城镇化;机构重仓;标准普尔;水利建设;沪股通;海绵城市;破净股;红利破净股;红利股;绿色电力;融资融券;装配建筑;长期破净,基础建设
600519,贵州茅台,HS300_;MSCI中国;上证180_;上证50_;味蕾经济;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;电商概念;白酒;白酒Ⅱ;白酒Ⅲ;百元股;茅指数;融资融券;西部大开发;证金持股;贵州板块;超级品牌;酿酒概念;食品饮料,白酒Ⅱ
600546,山煤国际,HJT电池;上证380;中证500;光伏概念;内贸流通;动力煤;参股银行;反内卷概念;央国企改革;山西板块;沪股通;煤炭;煤炭开采;红利股;融资融券;超超临界发电,煤炭开采
600549,厦门钨业,MSCI中国;上证380;中证500;动力电池回收;可控核聚变;固态电池;央国企改革;富时罗素;小金属;小金属概念;新材料;有色金属;机器人概念;标准普尔;沪股通;独角兽;电池技术;福建板块;稀土永磁;稀缺资源;融资融券;钨;锂电池概念,小金属
600562,国睿科技,5G概念;PPP模式;上证380;中证500;低空经济;军工;军工电子Ⅱ;军工电子Ⅲ;军民融合;华为概念;可控核聚变;商业航天;国防军工;大飞机;央国企改革;富时罗素;无人驾驶;江苏板块;沪股通;融资融券;通信技术;长江三角,军工电子Ⅱ
600582,天地科技,F5G概念;上证380;专用设备;中特估;中证500;人工智能;价值股;北京板块;央国企改革;富时罗素;新能源;机器人概念;机构重仓;机械设备;标准普尔;沪股通;煤化工概念;能源及重型设备;节能环保;融资融券;通信技术,专用设备
600585,海螺水泥,AH股;HS300_;MSCI中国;一带一路;上证180_;价值股;储能概念;反内卷概念;周期股;央国企改革;央视50_;安徽板块;富时罗素;建筑材料;机构重仓;标准普尔;水泥;水泥制造;沪股通;破净股;红利破净股;红利股;融资融券;装配建筑;证金持股;铁路基建;长期破净;雅下水电概念,水泥
600600,青岛啤酒,AH股;HS300_;MSCI中国;上证180_;味蕾经济;啤酒;啤酒概念;央国企改革;央视50_;富时罗素;山东板块;新零售;机构重仓;标准普尔;沪股通;股权激励;融资融券;证金持股;超级品牌;酿酒概念;非白酒;食品饮料,非白酒
600660,福耀玻璃,AH股;HS300_;MSCI中国;上证180_;光伏概念;周期股;央视50_;富时罗素;小米汽车;机构重仓;标准普尔;汽车;汽车零部件;沪股通;特斯拉;福建板块;融资融券;证金持股;贬值受益;车身附件及饰件,汽车零部件
600690,海尔智家,AH股;HS300_;MSCI中国;上证180_;上证50_;价值股;冰洗;净水概念;央视50_;家用电器;富时罗素;山东板块;工业互联;智能家居;机构重仓;标准普尔;沪股通;物联网;电商概念;白色家电;空气能热泵;节能环保;茅指数;融资融券;证金持股;超级品牌;阿里概念,白色家电
600729,重庆百货,一般零售;上证380;互联网金融;内贸流通;商贸零售;多业态零售;富时罗素;小盘股;小米汽车;成渝特区;标准普尔;沪股通;电商概念;红利股;融资融券;西部大开发;证金持股;重庆板块,一般零售
600737,中粮糖业,2025中报预减;MSCI中国;上证380;中字头;中证500;乡村振兴;其他农产品加工;农业种植;农产品加工;农林牧渔;味蕾经济;央国企改革;富时罗素;新疆板块;沪股通;融资融券;西部大开发;调味品概念,农产品加工
600741,华域汽车,HS300_;MSCI中国;上海板块;上证180_;价值股;养老金;参股券商;周期股;固态电池;央国企改革;富时罗素;小米汽车;新能源车;无人驾驶;机构重仓;标准普尔;毫米波概念;汽车;汽车零部件;沪企改革;沪股通;特斯拉;电池技术;破净股;融资融券;证金持股;车身附件及饰件,汽车零部件
600750,华润江中,上证380;中药Ⅱ;中药Ⅲ;中药概念;价值股;医药生物;参股银行;央国企改革;小盘股;机构重仓;标准普尔;江西板块;沪股通;白酒;红利股;融资融券;证金持股,中药Ⅱ
600755,厦门国贸,DeepSeek概念;一带一路;上证380;交通运输;京东金融;内贸流通;原材料供应链服务;参股券商;参股期货;参股银行;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;物流;破净股;福建板块;红利破净股;红利股;统一大市场;股权激励;融资融券;长期破净,物流
600757,长江传媒,价值股;传媒;养老金;出版;在线教育;央国企改革;小盘股;教育出版;标准普尔;沪股通;湖北板块;知识产权;红利股;融资融券;证金持股,出版
600761,安徽合力,上证380;养老金;央国企改革;安徽板块;小盘股;工程机械;工程机械整机;工程机械概念;新能源车;机械设备;沪股通;融资融券,工程机械
600873,梅花生物,MSCI中国;上证380;中证500;价值股;化学制品;参股银行;合成生物;基础化工;沪股通;生物疫苗;病毒防治;红利股;维生素;融资融券;西藏板块;西部大开发;调味品概念;食品及饲料添加剂,化学制品
600901,江苏金租,MSCI中国;上证380;中证500;多元金融;央国企改革;机构重仓;标准普尔;江苏板块;沪股通;租赁;红利股;融资融券;非银金融,多元金融
600919,江苏银行,HS300_;MSCI中国;上证180_;互联网金融;价值股;区块链;城商行Ⅲ;富时罗素;机构重仓;标准普尔;江苏板块;沪股通;破净股;红利破净股;红利股;融资融券;银行;银行Ⅱ,银行Ⅱ
600938,中国海油,AH股;HS300_;MSCI中国;上证180_;东方财富热股;中字头;中特估;价值股;周期股;天然气;央国企改革;新能源;机构重仓;沪股通;油气开采Ⅱ;油气开采Ⅲ;油气设服;油气资源;石油石化;绿色电力;融资融券;风能,油气开采Ⅱ
600971,恒源煤电,养老金;反内卷概念;央国企改革;安徽板块;富时罗素;小盘股;标准普尔;沪股通;焦煤;煤炭;煤炭开采;破净股;稀缺资源;红利破净股;红利股;融资融券;长期破净,煤炭开采
600985,淮北矿业,2025中报预减;MSCI中国;上证380;中证500;反内卷概念;央国企改革;安徽板块;富时罗素;标准普尔;民爆概念;沪股通;焦煤;煤化工概念;煤炭;煤炭开采;破净股;红利破净股;红利股;融资融券;长期破净,煤炭开采
600993,马应龙,QFII重仓;上证380;中药Ⅱ;中药Ⅲ;中药概念;养老金;医药生物;参股新三板;婴童概念;富时罗素;小盘股;标准普尔;沪股通;消毒剂;湖北板块;融资融券,中药Ⅱ
600997,开滦股份,养老金;反内卷概念;央国企改革;小盘股;机构重仓;氢能源;沪股通;河北板块;焦炭Ⅱ;焦炭Ⅲ;煤化工概念;煤炭;破净股;稀缺资源;红利破净股;红利股;融资融券;长期破净;雄安新区,焦炭Ⅱ
601000,唐山港,上证380;中证500;交通运输;京津冀;价值股;央国企改革;富时罗素;标准普尔;沪股通;河北板块;港口;红利股;航运港口;融资融券;证金持股;雄安新区,航运港口
601001,晋控煤业,上证380;中证500;动力煤;反内卷概念;央国企改革;富时罗素;山西板块;机构重仓;标准普尔;沪股通;煤炭;煤炭开采;稀缺资源;融资融券,煤炭开采
601006,大秦铁路,HS300_;MSCI中国;上证180_;中特估;交通运输;央国企改革;富时罗素;山西板块;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;铁路公路;铁路基建;铁路运输;长期破净,铁路公路
601008,连云港,一带一路;中俄贸易概念;交通运输;央国企改革;江苏板块;沪股通;港口;航运港口;融资融券;长江三角,航运港口
601009,南京银行,HS300_;MSCI中国;上证180_;互联网金融;城商行Ⅲ;富时罗素;机构重仓;标准普尔;江苏板块;沪股通;破净股;红利破净股;红利股;融资融券;银行;银行Ⅱ;长期破净;长江三角,银行Ⅱ
601019,山东出版,DeepSeek概念;上证380;中证500;传媒;出版;在线教育;央国企改革;富时罗素;山东板块;教育出版;标准普尔;沪股通;红利股;融资融券,出版
601077,渝农商行,AH股;HS300_;MSCI中国;上证180_;互联网金融;农商行Ⅲ;富时罗素;小米概念;成渝特区;沪股通;破净股;红利破净股;红利股;融资融券;西部大开发;重庆板块;银行;银行Ⅱ;长期破净,银行Ⅱ
601088,中国神华,AH股;HS300_;MSCI中国;上证180_;上证50_;中字头;中特估;动力煤;北京板块;反内卷概念;周期股;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;煤化工概念;煤炭;煤炭开采;稀缺资源;红利股;融资融券;证金持股;铁路基建,煤炭开采
601098,中南传媒,上证380;中证500;传媒;出版;华为概念;在线教育;央国企改革;富时罗素;影视概念;教育出版;机构重仓;标准普尔;沪股通;湖南板块;红利股;融资融券,出版
601101,昊华能源,动力煤;北京板块;反内卷概念;央国企改革;小盘股;机构重仓;沪股通;煤化工概念;煤炭;煤炭开采;稀缺资源;融资融券,煤炭开采
601166,兴业银行,HS300_;MSCI中国;上证180_;上证50_;互联网金融;价值股;央视50_;富时罗素;机构重仓;标准普尔;沪股通;破净股;福建板块;红利破净股;红利股;股份制银行Ⅲ;融资融券;证金持股;跨境支付;转债标的;银行;银行Ⅱ;长期破净,银行Ⅱ
601168,西部矿业,MSCI中国;上证380;中证500;央国企改革;小金属概念;工业金属;新材料;有色金属;标准普尔;沪股通;电池技术;稀缺资源;融资融券;西部大开发;钒电池;铜;锂矿概念;青海板块;黄金概念,工业金属
601169,北京银行,HS300_;MSCI中国;上证180_;互联网金融;京东金融;价值股;北京板块;参股保险;城商行Ⅲ;富时罗素;小米概念;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;银行;银行Ⅱ;长期破净,银行Ⅱ
601187,厦门银行,上证380;互联网金融;城商行Ⅲ;小盘股;沪股通;破净股;福建板块;银行;银行Ⅱ;长期破净,银行Ⅱ
601216,君正集团,MSCI中国;上证380;中证500;互联网金融;内蒙古;化学原料;参股券商;参股银行;基础化工;富时罗素;彩票概念;标准普尔;氯碱;沪股通;煤化工概念;独角兽;生物疫苗;红利股;蚂蚁概念;融资融券;西部大开发;阿里概念;降解塑料,化学原料
601225,陕西煤业,HS300_;MSCI中国;上证180_;上证50_;价值股;动力煤;反内卷概念;周期股;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;煤炭;煤炭开采;红利股;融资融券;西部大开发;证金持股;陕西板块,煤炭开采
601229,上海银行,HS300_;MSCI中国;QFII重仓;上海板块;上证180_;互联网金融;价值股;城商行Ⅲ;富时罗素;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;转债标的;银行;银行Ⅱ;长期破净;长江三角,银行Ⅱ
601288,农业银行,AH股;HS300_;MSCI中国;上证180_;上证50_;中特估;互联网金融;北京板块;国有大型银行Ⅲ;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ,银行Ⅱ
601318,中国平安,AH股;HS300_;IPO受益;MSCI中国;上证180_;上证50_;互联医疗;互联网金融;保险Ⅱ;保险Ⅲ;养老概念;区块链;参股券商;参股银行;周期股;央视50_;富时罗素;广东板块;标准普尔;沪股通;深圳特区;独角兽;红利股;融资融券;证金持股;非银金融,保险Ⅱ
601328,交通银行,AH股;HS300_;MSCI中国;QFII重仓;上海板块;上证180_;上证50_;中特估;互联网金融;国有大型银行Ⅲ;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净;长江三角,银行Ⅱ
601336,新华保险,2025三季报预增;AH股;HS300_;MSCI中国;上证180_;保险Ⅱ;保险Ⅲ;养老概念;北京板块;周期股;富时罗素;标准普尔;沪股通;蚂蚁概念;融资融券;证金持股;非银金融,保险Ⅱ
601398,工商银行,AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;中特估;互联网金融;北京板块;区块链;参股保险;参股银行;国有大型银行Ⅲ;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ
601598,中国外运,AH股;一带一路;上证380;中字头;中特估;中证500;交通运输;价值股;冷链物流;北京板块;区块链;央国企改革;富时罗素;快递概念;机构重仓;标准普尔;沪股通;物流;红利股;统一大市场;融资融券;跨境物流;跨境电商,物流
601601,中国太保,AH股;GDR;HS300_;MSCI中国;上海板块;上证180_;上证50_;保险Ⅱ;保险Ⅲ;养老概念;周期股;央视50_;富时罗素;机构重仓;标准普尔;沪股通;蚂蚁概念;融资融券;证金持股;长江三角;非银金融,保险Ⅱ
601658,邮储银行,AH股;HS300_;MSCI中国;上证180_;上证50_;中特估;互联网金融;北京板块;国有大型银行Ⅲ;央国企改革;机构重仓;沪股通;破净股;蚂蚁概念;融资融券;银行;银行Ⅱ;长期破净,银行Ⅱ
601666,平煤股份,2025中报预减;上证380;中证500;反内卷概念;央国企改革;富时罗素;标准普尔;沪股通;河南板块;焦煤;煤炭;煤炭开采;破净股;稀缺资源;红利破净股;红利股;融资融券;证金持股;转债标的,煤炭开采
601668,中国建筑,HS300_;MSCI中国;PPP模式;一带一路;上证180_;上证50_;中字头;中特估;北京板块;央国企改革;富时罗素;工程建设;建筑装饰;房屋建设Ⅱ;房屋建设Ⅲ;数字孪生;机构重仓;标准普尔;沪股通;破净股;融资融券;装配建筑;证金持股;长期破净,房屋建设Ⅱ
601699,潞安环能,MSCI中国;上证380;中证500;反内卷概念;央国企改革;富时罗素;山西板块;标准普尔;沪股通;焦煤;煤炭;煤炭开采;破净股;稀缺资源;红利破净股;红利股;融资融券,煤炭开采
601717,中创智领,AH股;DeepSeek概念;MSCI中国;上证380;专用设备;中证500;储能概念;华为汽车;富时罗素;新能源车;机构重仓;机械设备;标准普尔;沪股通;河南板块;能源及重型设备;融资融券,专用设备
601818,光大银行,AH股;HS300_;MSCI中国;上证180_;中特估;互联网金融;价值股;北京板块;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;股份制银行Ⅲ;融资融券;证金持股;银行;银行Ⅱ;长期破净,银行Ⅱ
601825,沪农商行,HS300_;MSCI中国;上海板块;上证180_;互联网金融;农商行Ⅲ;沪股通;破净股;融资融券;银行;银行Ⅱ;长期破净,银行Ⅱ
601838,成都银行,HS300_;MSCI中国;上证180_;互联网金融;价值股;四川板块;城商行Ⅲ;央国企改革;富时罗素;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;西部大开发;银行;银行Ⅱ,银行Ⅱ
601857,中国石油,AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;东方财富热股;中字头;中特估;价值股;北京板块;参股保险;周期股;天然气;央国企改革;机构重仓;标准普尔;沪股通;油气资源;炼化及贸易;炼油化工;石油石化;红利股;融资融券;证金持股;页岩气,炼化及贸易
601899,紫金矿业,2025中报预增;AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;周期股;基金重仓;央国企改革;富时罗素;小金属概念;工业金属;有色金属;机构重仓;标准普尔;沪股通;福建板块;稀缺资源;融资融券;证金持股;贬值受益;铜;锂矿概念;黄金概念,工业金属
601900,南方传媒,2025中报预增;AI应用;人工智能;价值股;传媒;出版;参股银行;在线教育;央国企改革;小盘股;广东板块;教育出版;数字阅读;沪股通;融资融券,出版
601916,浙商银行,AH股;HS300_;MSCI中国;上证180_;中特估;价值股;富时罗素;沪股通;浙江板块;破净股;股份制银行Ⅲ;蚂蚁概念;融资融券;银行;银行Ⅱ;长期破净,银行Ⅱ
601919,中远海控,AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;中字头;中特估;交通运输;价值股;周期股;天津板块;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;海洋经济;航运;航运港口;融资融券;证金持股,航运港口
601928,凤凰传媒,上证380;中证500;云计算;价值股;传媒;出版;在线教育;央国企改革;教育出版;数字阅读;数据中心;机构重仓;江苏板块;沪股通;红利股;网络游戏;虚拟现实;蚂蚁概念;融资融券,出版
601939,建设银行,AH股;HS300_;MSCI中国;上证180_;中特估;互联网金融;北京板块;国有大型银行Ⅲ;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ
601958,金钼股份,MSCI中国;OLED;上证380;中证500;军工;央国企改革;富时罗素;小金属;小金属概念;有色金属;标准普尔;沪股通;稀缺资源;融资融券;西部大开发;钼;陕西板块,小金属
601963,重庆银行,AH股;乡村振兴;互联网金融;城商行Ⅲ;富时罗素;小盘股;沪股通;破净股;西部大开发;转债标的;重庆板块;银行;银行Ⅱ;长期破净,银行Ⅱ
601988,中国银行,AH股;HS300_;MSCI中国;上证180_;上证50_;中字头;中特估;互联网金融;北京板块;国有大型银行Ⅲ;央国企改革;央视50_;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ
601997,贵阳银行,上证380;中证500;互联网金融;价值股;城商行Ⅲ;富时罗素;标准普尔;沪股通;破净股;融资融券;西部大开发;贵州板块;银行;银行Ⅱ;长期破净,银行Ⅱ
601998,中信银行,AH股;HS300_;MSCI中国;上证180_;中特估;北京板块;央国企改革;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;股份制银行Ⅲ;融资融券;证金持股;银行;银行Ⅱ;长期破净,银行Ⅱ
603040,新坐标,专精特新;养老金;底盘与发动机系统;新能源车;汽车;汽车热管理;汽车零部件;沪股通;浙江板块,汽车零部件
603129,春风动力,上证380;中证500;交运设备;体育产业;养老金;基金重仓;富时罗素;摩托车;摩托车及其他;汽车;沪股通;浙江板块;百元股;融资融券,摩托车及其他
603195,公牛集团,HS300_;MSCI中国;上证180_;储能概念;充电桩;其他家居用品;养老金;华为概念;家居用品;富时罗素;无线充电;智能家居;沪股通;浙江板块;消费电子概念;股权激励;融资融券;超级品牌;轻工制造,家居用品
603203,快克智能,AI眼镜;OLED;专精特新;中芯概念;人工智能;半导体概念;华为概念;存储芯片;富士康;小米概念;工业互联;工控设备;新能源车;智能穿戴;机器人概念;机器视觉;机构重仓;机械设备;江苏板块;沪股通;消费电子概念;液冷概念;自动化设备;苹果概念,自动化设备
603233,大参林,上证380;中证500;内贸流通;医药商业;医药生物;富时罗素;广东板块;标准普尔;沪股通;电商概念;线下药店;融资融券;转债标的,医药商业
603259,药明康德,2025中报预增;AH股;CAR-T细胞疗法;CRO;HS300_;MSCI中国;上证180_;上证50_;创新医疗服务;创新药;医疗服务;医疗研发外包;医药生物;基金重仓;宁组合;富时罗素;标准普尔;江苏板块;沪股通;独角兽;茅指数;融资融券,医疗服务
603317,天味食品,上证380;味蕾经济;四川板块;富时罗素;小盘股;沪股通;股权激励;融资融券;西部大开发;调味发酵品Ⅱ;调味发酵品Ⅲ;调味品概念;食品饮料,调味发酵品Ⅱ
603367,辰欣药业,化学制剂;化学制药;医药生物;婴童概念;山东板块;标准普尔;沪股通;流感;特色药;病毒防治;肝素概念,化学制药
603379,三美股份,2025三季报预增;2025中报预增;PVDF概念;上证380;中证500;养老金;化学制品;半导体概念;基础化工;氟化工;氟化工概念;沪股通;浙江板块;电池技术;融资融券;锂电池概念,化学制品
603380,易德龙,5G概念;医疗器械概念;数据中心;新能源车;机器人概念;江苏板块;沪股通;消费电子;消费电子零部件及组装;电子;通信技术,消费电子
603444,吉比特,2025三季报预增;上证380;中证500;传媒;在线教育;富时罗素;文娱消费;标准普尔;沪股通;游戏Ⅱ;游戏Ⅲ;百元股;福建板块;网络游戏;融资融券;谷子经济,游戏Ⅱ
603486,科沃斯,2025中报预增;MSCI中国;上证380;中证500;人工智能;宁组合;家用电器;富时罗素;小家电;智能家居;机器人概念;标准普尔;江苏板块;沪股通;清洁小家电;茅指数;融资融券;转债标的,小家电
603508,思维列控,2025中报预增;大数据;安防设备;小盘股;无人驾驶;机构重仓;沪股通;河南板块;红利股;融资融券;计算机;计算机设备;车联网(车路云);铁路基建,计算机设备
603529,爱玛科技,上证380;中证500;交运设备;共享经济;其他运输设备;创投;天津板块;摩托车及其他;新能源车;汽车;沪股通;电池技术;融资融券;转债标的;锂电池概念,摩托车及其他
603565,中谷物流,上海板块;上证380;中证500;交通运输;价值股;养老金;冷链物流;机构重仓;沪股通;红利股;航运;航运港口;融资融券,航运港口
603611,诺力股份,一带一路;人工智能;价值股;工业互联;工程机械;工程机械整机;工程机械概念;新型工业化;无人驾驶;机器人概念;机械设备;沪股通;浙江板块;统一大市场,工程机械
603706,东方环宇,一带一路;公用事业;天然气;新疆板块;油气资源;燃气Ⅱ;燃气Ⅲ;西部大开发,燃气Ⅱ
603816,顾家家居,MSCI中国;上证380;中证500;价值股;家居用品;富时罗素;成品家居;智能家居;标准普尔;沪股通;浙江板块;电商概念;融资融券;轻工制造,家居用品
603833,欧派家居,上证380;中证500;价值股;定制家居;家居用品;富时罗素;广东板块;标准普尔;沪股通;融资融券;转债标的;轻工制造,家居用品
603871,嘉友国际,一带一路;上证380;中俄贸易概念;交通运输;冷链物流;北京板块;小盘股;标准普尔;沪股通;物流;融资融券;跨境物流,物流
603893,瑞芯微,2025三季报预增;2025中报预增;AI眼镜;AI芯片;EDR概念;HS300_;MSCI中国;上证180_;专精特新;人工智能;人形机器人;半导体;半导体概念;华为概念;商汤概念;国产芯片;数字芯片设计;机器人概念;沪股通;物联网;电子;百元股;百度概念;福建板块;股权激励;虚拟现实;融资融券,半导体
603929,亚翔集成,OLED;专业工程;中芯概念;其他专业工程;半导体概念;华为概念;国产芯片;富士康;建筑装饰;标准普尔;江苏板块;沪股通;百元股,专业工程
603967,中创物流,一带一路;中俄贸易概念;交通运输;价值股;冷链物流;山东板块;物流;跨境物流,物流
605028,世茂能源,公用事业;垃圾分类;浙江板块;热力服务;电力;绿色电力;节能环保,电力
605099,共创草坪,体育产业;其他家居用品;家居用品;小盘股;文娱消费;江苏板块;沪股通;贬值受益;轻工制造,家居用品
605118,力鼎光电,2025中报预增;AI眼镜;专精特新;安防概念;安防设备;小盘股;无人机;无人驾驶;沪股通;福建板块;虚拟现实;计算机;计算机设备,计算机设备
605499,东鹏饮料,AH股;HS300_;MSCI中国;上证180_;广东板块;新零售;机构重仓;沪股通;百元股;融资融券;软饮料;食品饮料;饮料乳品,饮料乳品
605599,菜百股份,价值股;北京板块;央国企改革;小盘股;沪股通;电商概念;纺织服饰;钟表珠宝;饰品;黄金概念,饰品
688025,杰普特,2025中报预增;3D打印;BC电池;CPO概念;专精特新;华为概念;国产芯片;基金重仓;广东板块;机械设备;沪股通;深圳特区;激光设备;百元股;股权激励;自动化设备;苹果概念;虚拟现实;融资融券;通信技术;钙钛矿电池,自动化设备
688111,金山办公,AI应用;HS300_;Kimi概念;MSCI中国;上证180_;上证50_;人工智能;信创;北京板块;国产软件;横向通用软件;沪股通;百元股;科创板做市股;茅指数;融资融券;计算机;软件开发;远程办公,软件开发
688188,柏楚电子,MSCI中国;QFII重仓;上海板块;上证380;专精特新;中证500;其他计算机设备;国产软件;沪股通;百元股;融资融券;计算机;计算机设备,计算机设备
688200,华峰测控,上证380;专精特新;北京板块;半导体;半导体概念;半导体设备;华为概念;国产芯片;小盘股;氮化镓;沪股通;电子;百元股;第三代半导体;股权激励;融资融券,半导体
688513,苑东生物,免疫治疗;创新药;化学制剂;化学制药;医药生物;单抗概念;四川板块;婴童概念;沪股通;融资融券;西部大开发,化学制药
688799,华纳药厂,专精特新;中药概念;创新药;化学制剂;化学制药;医药生物;婴童概念;幽门螺杆菌概念;机构重仓;沪股通;流感;湖南板块;病原体防治;病毒防治;肝炎概念;融资融券,化学制药
688819,天能股份,上证380;中证500;储能概念;固态电池;新能源车;无人机;氢能源;沪股通;浙江板块;燃料电池概念;电力设备;电池;电池技术;石墨烯;科创板做市股;蓄电池及其他电池;融资融券;锂电池概念,电池
920509,同惠电子,专精特新;仪器仪表;华为概念;华为海思;机械设备;江苏板块;第三代半导体;融资融券;通用设备,通用设备
920599,同力股份,工程机械;工程机械整机;工程机械概念;无人驾驶;机械设备;融资融券;西部大开发;陕西板块,工程机械
920735,德源药业,减肥药;创新药;化学制剂;化学制药;医药生物;江苏板块;融资融券,化学制药
