股票代码,股票简称,概念板块,行业板块
000988,华工科技,2025中报预增;3D打印;3D玻璃;5G概念;CPO概念;DeepSeek概念;F5G概念;IPO受益;MSCI中国;东方财富热股;传感器;充电桩;光通信模块;全息技术;创投;半导体概念;华为概念;央国企改革;富时罗素;工业母机;新材料;新能源车;智能家居;机器人概念;机械设备;柔性屏(折叠屏);标准普尔;深成500;深股通;湖北板块;湖北自贸;激光设备;物联网;特斯拉;玻璃基板;百元股;移动支付;自动化设备;苹果概念;蓝宝石;融资融券;通信技术;量子科技;高压快充,自动化设备
000999,华润三九,HS300_;MSCI中国;中特估;中药Ⅱ;中药Ⅲ;中药概念;创新药;化妆品概念;医药生物;央国企改革;婴童概念;富时罗素;广东板块;标准普尔;流感;深圳特区;深成500;深股通;深证100R;特色药;独家药品;电商概念;病原体防治;病毒防治;维生素;融资融券,中药Ⅱ
001206,依依股份,个护用品;天津板块;婴童概念;宠物经济;新消费;生活用纸;电商概念;美容护理;贬值受益,个护用品
001338,永顺泰,其他农产品加工;农产品加工;农林牧渔;啤酒概念;央国企改革;广东板块;机构重仓;深股通,农产品加工
002017,东信和平,5G概念;信创;央国企改革;富时罗素;小盘股;广东板块;数字货币;数据安全;深股通;物联网;电商概念;移动支付;网络安全;融资融券;车联网(车路云);通信;通信技术;通信终端及配件;通信设备,通信设备
002028,思源电气,HS300_;MSCI中国;QFII重仓;上海板块;储能概念;充电桩;光伏概念;半导体概念;周期股;富时罗素;新能源;智能电网;标准普尔;深成500;深股通;深证100R;特高压;电力设备;电网概念;电网设备;百元股;磁悬浮概念;融资融券;超级电容;输变电设备;长江三角;风能,电网设备
002043,兔宝宝,其他建材Ⅲ;养老金;富时罗素;小盘股;建筑材料;智能家居;浙江板块;深股通;电商概念;红利股;融资融券;装修建材;长江三角,装修建材
002046,国机精工,中芯概念;军工;半导体概念;商业航天;国产芯片;培育钻石;央国企改革;小盘股;机器人执行器;机器人概念;机械设备;河南板块;深股通;磨具磨料;空间站概念;融资融券;通用设备;风能,通用设备
002056,横店东磁,2025三季报预增;2025中报预增;5G概念;BC电池;MSCI中国;TOPCon电池;中证500;价值股;低空经济;光伏概念;光伏电池组件;光伏设备;共享经济;军工;华为概念;富时罗素;小金属概念;工业互联;新材料;新能源;新能源车;无线充电;标准普尔;氢能源;浙江板块;消费电子概念;深成500;深股通;特斯拉;电力设备;电池技术;磁悬浮概念;稀土永磁;苹果概念;融资融券;通信技术;锂电池概念;长江三角,光伏设备
002078,太阳纸业,MSCI中国;中证500;代糖概念;养老金;大宗用纸;富时罗素;山东板块;标准普尔;深成500;深股通;融资融券;轻工制造;造纸;造纸印刷,造纸
002096,易普力,IPO受益;军工;军民融合;基建市政工程;基础建设;央国企改革;小盘股;建筑装饰;民爆概念;深成500;深股通;湖南板块;雅下水电概念,基础建设
002117,东港股份,DeepSeek概念;Web3.0;人形机器人;包装印刷;区块链;印刷;大数据;富时罗素;山东板块;彩票概念;拼多多概念;数据确权;文娱消费;机器人概念;深股通;移动支付;算力概念;蚂蚁概念;融资融券;财税数字化;轻工制造;造纸印刷,包装印刷
002154,报喜鸟,C2M概念;创投;数据要素;服装家纺;浙江板块;深股通;电商概念;红利股;纺织服饰;网红经济;融资融券;长江三角;非运动服装,服装家纺
002158,汉钟精机,上海板块;专精特新;光伏概念;养老金;冷链物流;制冷空调设备;半导体概念;地热能;富时罗素;小盘股;工业互联;数据中心;新能源车;机械设备;氢能源;深股通;燃料电池概念;电池技术;空气能热泵;节能环保;融资融券;通用设备;长江三角,通用设备
002179,中航光电,5G概念;6G概念;HS300_;MSCI中国;充电桩;军工;军工电子Ⅱ;军工电子Ⅲ;军民融合;北交所概念;华为概念;可控核聚变;周期股;商业航天;国防军工;大飞机;央国企改革;富时罗素;换电概念;新能源车;机器人概念;标准普尔;河南板块;液冷概念;深成500;深股通;深证100R;特斯拉;融资融券;通信技术,军工电子Ⅱ
002192,融捷股份,储能概念;反内卷概念;小盘股;广东板块;有色金属;标准普尔;深股通;电池技术;稀缺资源;能源金属;融资融券;锂;锂电池概念;锂矿概念,能源金属
002233,塔牌集团,2025中报预增;举牌;创投;反内卷概念;富时罗素;小盘股;广东板块;建筑材料;标准普尔;水泥;水泥制造;深股通;破净股;粤港自贸;红利破净股;红利股;融资融券,水泥
002262,恩华药业,MSCI中国;中证500;互联医疗;创新药;化学制剂;化学制药;医药生物;富时罗素;标准普尔;江苏板块;深成500;深股通;痘病毒防治;精准医疗;精准诊断;融资融券;长江三角;阿兹海默,化学制药
002267,陕天然气,公用事业;天然气;央国企改革;富时罗素;小盘股;标准普尔;油气资源;深股通;燃气Ⅱ;燃气Ⅲ;融资融券;西部大开发;证金持股;陕西板块,燃气Ⅱ
002318,久立特材,中证500;养老金;富时罗素;新材料;标准普尔;核能核电;油气资源;浙江板块;深成500;深股通;特钢Ⅱ;特钢Ⅲ;航母概念;融资融券;超超临界发电;钢铁;长江三角;页岩气,特钢Ⅱ
002353,杰瑞股份,MSCI中国;一带一路;专用设备;中俄贸易概念;中证500;动力电池回收;天然气;富时罗素;山东板块;机械设备;标准普尔;油气设服;油气资源;海工装备;深成500;深股通;百元股;能源及重型设备;融资融券;页岩气,专用设备
002371,北方华创,HS300_;MSCI中国;OLED;中芯概念;光伏概念;光刻机(胶);北京板块;半导体;半导体概念;半导体设备;华为概念;华为海思;国产芯片;央国企改革;宁组合;富时罗素;标准普尔;氮化镓;深成500;深股通;深证100R;电子;电池技术;百元股;第三代半导体;茅指数;融资融券;锂电池概念;高带宽内存,半导体
