股票代码,股票名称,交易所,来源指数,申万一级行业,申万二级行业,申万三级行业,概念板块,行业板块,2025年平均价,2025年分红(元/股),2025年分红次数,2025年股息率(%),2024年平均价,2024年分红(元/股),2024年分红次数,2024年股息率(%),2023年平均价,2023年分红(元/股),2023年分红次数,2023年股息率(%),近3年平均股价,3年平均股息率(%),2025Q1平均价,2025Q1分红(元/股),2025Q1股息率(%),2025Q2平均价,2025Q2分红(元/股),2025Q2股息率(%),2025Q3平均价,2025Q3分红(元/股),2025Q3股息率(%),2025Q4平均价,2025Q4分红(元/股),2025Q4股息率(%),2025年最高价,2025年最低价,2025年最高涨幅(%),2025年最低跌幅(%)
429,粤高速A,深市主板,中证红利,交通运输,铁路公路,高速公路,AB股;中证500;交通运输;价值股;参股券商;央国企改革;广东板块;机构重仓;标准普尔;深成500;深股通;粤港自贸;红利股;融资融券;铁路公路;高速公路,铁路公路,12.87,0.52,1,4.06,10.64,0.55,1,5.14,7.93,0.43,1,5.4,10.48,4.87,13.49,-,-,13.91,-,-,12.17,0.52,4.3,12.02,-,-,14.73,10.7,14.42,16.88
600295,鄂尔多斯,沪市主板,中证红利,钢铁,冶钢原料,冶钢辅料,AB股;上证380;中证500;价值股;内蒙古;冶钢原料;冶钢辅料;创投;小金属概念;昨日高振幅;标准普尔;沪股通;红利股;融资融券;西部大开发;钢铁,冶钢原料,9.86,0.6,1,6.09,10.1,0.8,1,7.92,12.19,1.0,1,8.2,10.72,7.4,9.34,-,-,9.02,0.6,6.65,9.88,-,-,11.17,-,-,12.5,8.49,26.78,13.89
600028,中国石化,沪市主板,中证红利,石油石化,炼化及贸易,炼油化工,AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;东方财富热股;中字头;中特估;北京板块;周期股;天然气;央国企改革;富时罗素;昨日高振幅;机构重仓;标准普尔;氢能源;沪股通;炼化及贸易;炼油化工;石油石化;碳交易;红利股;融资融券;证金持股;页岩气,炼化及贸易,5.78,0.23,2,3.95,6.35,0.35,2,5.45,5.75,0.34,2,5.91,5.96,5.1,5.99,-,-,5.72,0.14,2.45,5.69,0.09,1.55,5.73,-,-,6.58,5.29,13.88,8.44
596,古井贡酒,深市主板,红利增长,食品饮料,白酒Ⅱ,白酒Ⅲ,AB股;HS300_;MSCI中国;央国企改革;央视50_;安徽板块;富时罗素;机构重仓;标准普尔;深成500;深股通;深证100R;白酒;白酒Ⅱ;白酒Ⅲ;百元股;融资融券;酿酒概念;食品饮料,白酒Ⅱ,158.09,6.0,2,3.8,211.38,4.5,1,2.13,267.95,3.0,1,1.12,212.47,2.35,170.77,1.0,0.59,157.03,5.0,3.18,151.53,-,-,154.33,-,-,193.54,131.68,22.42,16.71
513,丽珠集团,深市主板,红利质量,医药生物,化学制药,化学制剂,AH股;MSCI中国;中药概念;中证500;减肥药;创新药;化学制剂;化学制药;医药生物;单抗概念;基因测序;富时罗素;幽门螺杆菌概念;广东板块;标准普尔;流感;深成500;深股通;生物疫苗;痘病毒防治;精准医疗;融资融券;辅助生殖;重组蛋白,化学制药,36.98,1.1,1,2.97,37.45,1.35,1,3.6,35.64,1.6,1,4.49,36.69,3.69,35.54,-,-,35.67,1.1,3.08,40.11,-,-,36.22,-,-,43.9,33.8,18.71,8.6
601318,中国平安,沪市主板,"中证红利, 红利质量",非银金融,保险Ⅱ,保险Ⅲ,AH股;HS300_;IPO受益;MSCI中国;上证180_;上证50_;互联医疗;互联网金融;保险Ⅱ;保险Ⅲ;养老概念;区块链;参股券商;参股银行;周期股;央视50_;富时罗素;广东板块;标准普尔;沪股通;深圳特区;独角兽;红利股;融资融券;证金持股;非银金融,保险Ⅱ,55.76,2.57,2,4.61,45.42,2.43,2,5.35,47.31,2.43,2,5.14,49.5,5.03,50.98,-,-,52.69,1.62,3.07,57.75,-,-,61.2,0.95,1.55,71.16,48.56,27.61,12.92
601857,中国石油,沪市主板,"中证红利, 红利增长",石油石化,炼化及贸易,炼油化工,AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;东方财富热股;中字头;中特估;价值股;北京板块;参股保险;周期股;天然气;央国企改革;机构重仓;标准普尔;沪股通;炼化及贸易;炼油化工;石油石化;红利股;融资融券;证金持股;页岩气,炼化及贸易,8.67,0.47,2,5.42,8.99,0.45,2,5.01,6.98,0.43,2,6.16,8.21,5.53,8.19,-,-,8.29,0.25,3.02,8.65,0.22,2.54,9.51,-,-,10.41,7.34,20.12,15.3
600188,兖矿能源,沪市主板,中证红利,煤炭,煤炭开采,动力煤,AH股;HS300_;MSCI中国;上证180_;动力煤;参股期货;参股银行;反内卷概念;周期股;央国企改革;富时罗素;山东板块;昨日炸板;昨日触板;标准普尔;沪股通;煤化工概念;煤炭;煤炭开采;稀缺资源;红利股;融资融券,煤炭开采,13.31,0.72,2,5.41,19.42,1.72,2,8.86,26.42,3.07,1,11.62,19.72,8.63,13.4,-,-,12.64,0.54,4.27,13.01,0.18,1.38,14.23,-,-,15.73,12.07,18.16,9.33
600016,民生银行,沪市主板,中证红利,银行,股份制银行Ⅱ,股份制银行Ⅲ,AH股;HS300_;MSCI中国;上证180_;互联网金融;价值股;北京板块;参股券商;央视50_;富时罗素;标准普尔;沪股通;破净股;红利破净股;红利股;股份制银行Ⅲ;融资融券;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ,4.3,0.2,2,4.61,3.84,0.35,2,9.01,3.74,0.21,1,5.73,3.96,6.45,4.1,-,-,4.27,-,-,4.76,0.2,4.16,4.0,-,-,5.55,3.8,29.19,11.55
895,双汇发展,深市主板,"中证红利, 中证红利质量",食品饮料,食品加工,肉制品,HS300_;MSCI中国;人造肉;央视50_;富时罗素;新零售;机构重仓;标准普尔;河南板块;深成500;深股通;深证100R;猪肉概念;社区团购;红利股;肉制品;融资融券;证金持股;超级品牌;预制菜概念;食品加工;食品饮料;鸡肉概念,食品加工,25.7,1.4,2,5.45,25.65,1.36,2,5.3,25.6,1.75,2,6.84,25.65,5.86,25.96,-,-,25.49,0.75,2.94,25.07,0.65,2.59,26.37,-,-,27.96,24.13,8.78,6.12
