股票代码,数据日期,主营业务利润率,净利率,ROE,资产负债率,扣非净利润同比,3年复合增长率,最新EPS年度,最新EPS(元),最新季度扣非(元),最新季度扣非同比(%),数据季度
601288,2026-03-31,,,2.6475,93.5269,3.48,4.02,2025,0.78,74867000000.0,3.99,2026Q2
601318,2026-03-31,,,2.5,89.8779,22.47,29.12,2025,7.44,23912000000.0,-20.98,2026Q2
601328,2026-03-31,,,2.2675,92.0004,2.76,1.86,2025,1.08,26098000000.0,3.22,2026Q2
601398,2026-03-31,,,2.2075,92.1901,1.06,0.92,2025,1.0,86795000000.0,3.49,2026Q2
601666,2026-03-31,12.1444,,0.55,66.1058,-86.26,-71.56,2025,0.0935,144482349.86,-18.11,2026Q2
601668,2026-03-31,7.5877,,2.77,76.7999,-23.2,-18.89,2025,0.94,13783567000.0,-7.18,2026Q2
601699,2026-03-31,25.7861,,1.53,41.8298,-63.68,-66.87,2025,0.37,700971247.51,4.29,2026Q2
601717,2026-03-31,18.8607,,3.62,48.797,0.64,9.46,2025,2.439,637809216.8,-35.6,2026Q2
601818,2026-03-31,,,1.995,91.9872,-6.46,-1.83,2025,0.58,11490000000.0,-9.05,2026Q2
601857,2026-03-31,14.5479,,3.0,39.5841,-6.7,-7.05,2025,0.86,49579000000.0,6.48,2026Q2
601928,2026-03-31,34.766,,2.13,33.3041,-24.03,-13.51,2025,0.71,395739779.46,-17.63,2026Q2
601939,2026-03-31,,,2.4625,92.0007,1.03,0.97,2025,1.3,86161000000.0,3.47,2026Q2
601988,2026-03-31,,,2.115,91.7975,2.59,2.56,2025,0.74,56603000000.0,3.64,2026Q2
601998,2026-03-31,,,2.7775,91.5368,2.58,2.45,2025,1.2,20017000000.0,3.52,2026Q2
000333,2026-03-31,25.1361,,5.56,60.0182,15.46,11.87,2025,5.76,10961722000.0,-14.02,2026Q2
000423,2026-03-31,74.2007,,4.31,20.0158,13.62,23.01,2025,2.7,448362577.66,7.69,2026Q2
000543,2026-03-31,13.2258,,2.54,62.7833,2.28,27.67,2025,0.95,436656607.81,0.02,2026Q2
000915,2026-03-31,80.465,,3.79,7.9495,2.98,-5.88,2025,2.28,107063002.75,-40.28,2026Q2
002532,2026-03-31,33.9178,,7.27,39.9421,8.15,57.3,2025,1.05,2198816692.98,111.78,2026Q2
002555,2026-03-31,77.5729,,6.22,34.7936,9.81,6.74,2025,1.32,609855320.43,13.68,2026Q2
002690,2026-03-31,53.6789,,3.9,14.8355,12.55,0.89,2025,0.8151,95638137.28,-8.12,2026Q2
600285,2026-03-31,76.9526,,6.99,38.2246,10.81,15.41,2025,1.338,227551542.24,11.59,2026Q2
600300,2026-03-31,27.5338,,2.3,23.4332,-7.8,35.54,2025,0.21,95937944.54,38.78,2026Q2
600351,2026-03-31,51.8099,,3.75,14.7926,7.48,13.38,2025,,111645838.17,10.67,2026Q2
600660,2026-03-31,36.6338,,4.46,46.6335,23.08,28.76,2025,3.57,1642761951.0,-17.32,2026Q2
600873,2026-03-31,8.5994,,0.72,36.7807,-18.22,-15.43,2025,1.17,80256263.63,-91.13,2026Q2
601601,2026-03-31,,,3.2,89.0876,16.48,38.87,2025,5.54,9519000000.0,-1.09,2026Q2
603040,2026-03-31,51.6463,,4.33,12.0898,31.63,22.54,2025,1.99,62181248.17,0.15,2026Q2
603508,2026-03-31,61.5101,,3.93,6.8219,0.59,16.54,2025,1.46,159654709.26,26.08,2026Q2
000404,2026-03-31,13.124,,2.63,61.2218,0.48,16.56,2025,0.7141,121595287.13,46.74,2026Q2
000858,2026-03-31,65.1081,,6.5,34.3133,-72.23,-45.9,2025,2.3068,8036134136.04,-45.93,2026Q2
002318,2026-03-31,24.1115,,4.49,31.6966,-14.18,3.42,2025,1.59,177815629.73,-54.84,2026Q2
600284,2026-03-31,4.7683,,0.6,72.276,-45.72,-24.08,2025,0.364,23229427.18,-75.87,2026Q2
600362,2026-03-31,4.6708,,3.41,62.4705,10.39,30.47,2025,,3126322051.0,26.26,2026Q2
600582,2026-03-31,27.7598,,1.68,44.4983,-47.31,-23.15,2025,0.591,403224694.4,-14.76,2026Q2
600761,2026-03-31,22.2677,,2.97,42.914,0.49,-2.52,2025,1.37,302705384.67,8.33,2026Q2
000513,2026-03-31,64.5904,,4.06,35.5889,1.51,3.34,2025,2.27,578656894.22,-6.48,2026Q2
002056,2026-03-31,16.5354,,3.57,60.5008,5.34,-6.74,2025,1.16,317345900.0,-30.58,2026Q2
600750,2026-03-31,66.3982,,6.91,29.878,11.22,8.8,2025,1.43,282317557.54,8.09,2026Q2
601336,2026-03-31,,,5.53,93.3325,29.17,97.09,2025,11.63,6523000000.0,10.13,2026Q2
603444,2026-03-31,93.2355,,8.98,21.6029,97.39,24.39,2025,,525579624.86,91.39,2026Q2
000429,2026-03-31,67.8231,,3.99,48.0381,-7.39,-5.49,2025,0.86,449746316.2,12.53,2026Q2
600012,2026-03-31,51.9962,,4.1,53.1144,6.69,1.52,2025,1.1151,544313258.54,16.17,2026Q2
600348,2026-03-31,29.9839,,1.76,53.6383,-23.7,-43.88,2025,0.43,478730765.41,-24.11,2026Q2
600737,2026-03-31,10.4135,,1.87,46.0012,-52.02,-37.8,2025,0.4447,195872763.69,29.81,2026Q2
600741,2026-03-31,11.6896,,1.84,62.1208,10.92,-0.9,2025,,1150056358.92,-0.54,2026Q2
601001,2026-03-31,23.1005,,1.75,21.993,-34.5,-23.64,2025,1.09,337054064.63,-33.6,2026Q2
600210,2026-03-31,22.0694,,3.21,46.1369,-0.84,17.59,2025,0.684,209383044.67,27.4,2026Q2
601958,2026-03-31,33.2479,,4.65,11.8566,6.44,2.97,2025,0.98,880289505.97,35.97,2026Q2
600377,2026-03-31,36.0869,,3.22,42.7849,-8.45,3.46,2025,0.9119,1362904911.34,14.1,2026Q2
601900,2026-03-31,39.8757,,3.34,47.0412,2.89,4.24,2025,1.18,282414268.36,-7.85,2026Q2
